,school,degree,university,gross_monthly_median,gross_mthly_25_percentile,basic_monthly_median,employment_rate_ft_perm,gross_mthly_75_percentile,gross_monthly_mean,basic_monthly_mean,year,employment_rate_overall
454,Faculty of Engineering,Bachelor of Engineering (Mechanical Engineering),National University of Singapore,3200,3000,3100,88.5,3500,3323,3160,2014,90
455,Faculty of Law,Bachelor of Laws (LLB) (Hons),National University of Singapore,5150,4800,5000,97.6,5800,5247,5027,2014,98.2
456,YLL School of Medicine,Bachelor of Medicine and Bachelor of Surgery,National University of Singapore,5000,4500,4500,100,5200,4886,4404,2014,100
457,YLL School of Medicine,Bachelor of Science (Nursing),National University of Singapore,3200,3050,3000,95.6,3386,3188,2976,2014,100
458,YLL School of Medicine,Bachelor of Science (Nursing) (Hons),National University of Singapore,3500,3270,3270,100,3600,3353,3123,2014,100
459,Yong Siew Toh Conservatory of Music,Bachelor of Music,National University of Singapore,na,na,na,na,na,na,na,2014,na
460,Faculty of Science,Bachelor of Applied Science,National University of Singapore,na,na,na,na,na,na,na,2014,na
461,Faculty of Science,Bachelor of Applied Science (Hons),National University of Singapore,2800,2600,2750,81.8,3000,2831,2760,2014,95.5
462,Faculty of Science,Bachelor of Science,National University of Singapore,3000,2700,2800,61.4,3200,2973,2804,2014,76.8
463,Faculty of Science,Bachelor of Science (Hons),National University of Singapore,3210,2950,3200,75.8,3600,3328,3224,2014,86.6
464,Faculty of Science,Bachelor of Science (Computational Biology),National University of Singapore,na,na,na,na,na,na,na,2014,na
465,Faculty of Science,Bachelor of Science (Pharmacy) (Hons),National University of Singapore,3630,3470,3500,96.7,4000,3670,3467,2014,98.9
466,School of Accountancy (4year programme),Accountancy (4year programme),Singapore Management University,2875,2722,2850,91.4,3614,3420,3375,2014,93.6
467,School of Accountancy (4year programme),Accountancy (4year programme) Cum Laude and above,Singapore Management University,3500,2875,3450,96.1,4300,3903,3871,2014,97.4
468,School of Business (4year programme),Business Management (4year programme),Singapore Management University,3333,3000,3250,86.4,4000,3752,3630,2014,90.9
469,School of Business (4year programme),Business Management (4year programme) Cum Laude and above,Singapore Management University,3600,3200,3500,94,4500,4116,4019,2014,94.5
470,School of Economics (4year programme),Economics (4year programme),Singapore Management University,3500,3175,3500,83.9,4000,3645,3525,2014,90.2
471,School of Economics (4year programme),Economics (4year programme) Cum Laude and above,Singapore Management University,3800,3300,3800,89.1,4350,3824,3815,2014,90.6
472,School of Information Systems (4year programme),Information Systems Management (4year programme),Singapore Management University,3350,3000,3225,80.6,4000,3530,3431,2014,92.9
473,School of Information Systems (4year programme),Information Systems Management (4year programme) Cum Laude and above,Singapore Management University,4050,3500,4000,84.2,4540,4151,4057,2014,97.4
474,School of Social Sciences (4year programme),Social Sciences (4year programme),Singapore Management University,3000,2800,3000,84.1,3580,3166,2981,2014,90.9
475,School of Social Sciences (4year programme),Social Sciences (4year programme) Cum Laude and above,Singapore Management University,3590,3000,3215,81.3,3955,3545,3331,2014,87.5
476,School of Law (4year programme),Law (4year programme),Singapore Management University,5025,4600,4800,95.6,5950,5332,4932,2014,97.8
477,School of Law (4year programme),Law (4year programme) Cum Laude and above,Singapore Management University,5800,4800,4900,97.7,6000,5571,5089,2014,97.7
478,DigiPen Institute of Technology,Bachelor of Arts in Game Design,Singapore Institute of Technology,2700,2575,2700,86.7,2800,2490,2490,2014,100
479,DigiPen Institute of Technology,Bachelor of Fine Arts in Digital Arts Animation,Singapore Institute of Technology,2600,2300,2600,84.4,2885,2603,2586,2014,90.6
480,DigiPen Institute of Technology,Bachelor of Science in Computer Science  Game Design,Singapore Institute of Technology,2975,2800,2875,100,3075,2955,2932,2014,100
481,DigiPen Institute of Technology,Bachelor of Science in Computer Science in RealTime Interactive Simulation,Singapore Institute of Technology,3000,2700,3000,100,3300,2910,2859,2014,100
482,The Glasgow School of Art,Bachelor of Arts with Honours in Communication Design,Singapore Institute of Technology,2500,2400,2500,78.3,2800,2595,2547,2014,89.1
483,The Glasgow School of Art,Bachelor of Arts with Honours in Interior Design,Singapore Institute of Technology,2500,2373,2500,90.9,2800,2583,2553,2014,93.9
484,Newcastle University,Bachelor of Engineering with Honours in Chemical Engineering,Singapore Institute of Technology,3300,3000,3000,84.5,3650,3325,3041,2014,90.1
485,Newcastle University,Bachelor of Engineering with Honours in Marine Engineering,Singapore Institute of Technology,3260,3003,3100,88.9,3594,3334,3208,2014,92.6
486,Newcastle University,Bachelor of Engineering with Honours in Mechanical Design  Manufacturing Engineering,Singapore Institute of Technology,3100,3000,3000,85.7,3338,3273,3196,2014,97.1
487,Newcastle University,Bachelor of Engineering with Honours in Naval Architecture,Singapore Institute of Technology,3500,3233,3355,94.1,3675,3467,3293,2014,100
488,Newcastle University,Bachelor of Engineering with Honours in Offshore Engineering,Singapore Institute of Technology,3300,3075,3200,91.3,3625,3467,3311,2014,91.3
489,Newcastle University,Bachelor of Science with Honours in Food  Human Nutrition,Singapore Institute of Technology,2800,2500,2750,61.4,3170,2854,2806,2014,75
490,Technische Universitt Mnchen,Bachelor of Science in Chemical Engineering,Singapore Institute of Technology,3200,2950,2900,86.7,3755,3285,2954,2014,86.7
491,Technische Universitt Mnchen,Bachelor of Science in Electrical Engineering  Information Technology,Singapore Institute of Technology,3000,2800,2900,82.1,3480,3141,3072,2014,85.7
492,The Culinary Institute of America,Bachelor of Professional Studies in Culinary Arts Management,Singapore Institute of Technology,2500,2200,2400,89.3,2600,2503,2430,2014,89.3
493,Trinity College Dublin,Bachelor in Science (Occupational Therapy),Singapore Institute of Technology,3100,3000,3100,100,3338,3151,3127,2014,100
494,Trinity College Dublin,Bachelor in Science (Physiotherapy),Singapore Institute of Technology,3200,3000,3200,100,3500,3229,3204,2014,100
495,University of Glasgow,Bachelor of Engineering with Honours in Aeronautical Engineering,Singapore Institute of Technology,3000,2849,3000,88,4194,3415,3396,2014,88
496,University of Glasgow,Bachelor of Engineering with Honours in Aerospace Systems,Singapore Institute of Technology,3150,2900,3100,75,3500,3333,3217,2014,85.7
497,University of Glasgow,Bachelor of Engineering with Honours in Mechanical Design Engineering,Singapore Institute of Technology,3250,2950,3000,92.3,3556,3424,3229,2014,92.3
498,University of Glasgow,Bachelor of Engineering with Honours in Mechatronics,Singapore Institute of Technology,3100,2964,3050,87.3,3443,3209,3067,2014,93
499,University of Manchester,Bachelor of Science with Honours in Nursing Practice,Singapore Institute of Technology,3511,3115,3260,94.4,3860,3464,3230,2014,97.2
500,University of Nevada Las Vegas,Bachelor of Science (Major in Hospitality Management),Singapore Institute of Technology,2500,2300,2500,78,2900,2634,2445,2014,88.8
501,Wheelock College,Bachelor of Science in Early Childhood Education,Singapore Institute of Technology,2600,2475,2600,97.1,2613,2553,2509,2014,97.1
502,College of Business (Nanyang Business School),Accountancy (3yr direct Honours Programme),Nanyang Technological University,2875,2850,2850,96.5,3125,3240,3182,2015,97.3
503,College of Business (Nanyang Business School),Business (3yr direct Honours Programme),Nanyang Technological University,3200,2900,3100,87.6,3700,3502,3343,2015,92.2
504,College of Business (Nanyang Business School),Business and Computing,Nanyang Technological University,4583,3800,4184,100,4876,4395,4036,2015,100
505,College of Engineering,Aerospace Engineering,Nanyang Technological University,3700,3450,3650,86,4000,3724,3699,2015,86
506,College of Engineering,Aerospace Engineering and Economics,Nanyang Technological University,na,na,na,na,na,na,na,2015,na
507,College of Engineering,Bioengineering,Nanyang Technological University,3113,2900,3000,76.5,3450,3197,3079,2015,92.6
508,College of Engineering,Business and Computer Engineering,Nanyang Technological University,na,na,na,na,na,na,na,2015,na
509,College of Engineering,Chemical And Biomolecular Engineering,Nanyang Technological University,3300,3000,3100,80.9,3600,3373,3156,2015,86.8
510,College of Engineering,Chemical And Biomolecular Engineering and Economics,Nanyang Technological University,na,na,na,na,na,na,na,2015,na
511,College of Engineering,Computer Engineering,Nanyang Technological University,3500,3200,3350,83,4000,3577,3489,2015,85.1
512,College of Engineering,Civil Engineering,Nanyang Technological University,3200,3000,3100,93,3300,3206,3125,2015,95.3
513,College of Engineering,Computer Science,Nanyang Technological University,3300,3150,3300,91.4,3800,3535,3489,2015,92.4
514,College of Engineering,Electrical And Electronic Engineering,Nanyang Technological University,3300,3000,3200,86.2,3690,3446,3345,2015,88.6
515,College of Engineering,Environmental Engineering,Nanyang Technological University,3300,3000,3200,82.1,3835,3673,3472,2015,89.7
516,College of Engineering,Environmental Engineering and Economics,Nanyang Technological University,na,na,na,na,na,na,na,2015,na
517,College of Engineering,Information Engineering And Media,Nanyang Technological University,3275,3000,3200,80,3500,3375,3271,2015,87.3
518,College of Engineering,Information Engineering And Media and Economics,Nanyang Technological University,na,na,na,na,na,na,na,2015,na
519,College of Engineering,Materials Engineering,Nanyang Technological University,3200,3000,3100,76.8,3600,3397,3213,2015,82.9
520,College of Engineering,Mechanical Engineering,Nanyang Technological University,3250,3000,3200,80.7,3600,3388,3248,2015,88
521,College of Engineering,Mechanical Engineering and Economics,Nanyang Technological University,na,na,na,na,na,na,na,2015,na
522,College of Engineering,Maritime Studies,Nanyang Technological University,3200,3000,3200,95,3300,3271,3249,2015,95
523,College of Humanities Arts Social Sciences,Art Design  Media,Nanyang Technological University,2800,2200,2800,56.9,3000,3457,3284,2015,79.3
524,College of Humanities Arts Social Sciences,Chinese,Nanyang Technological University,3200,2800,3000,76.6,3500,3045,2978,2015,81.8
525,College of Humanities Arts Social Sciences,Communication Studies,Nanyang Technological University,3000,2600,2900,74.4,3330,3008,2921,2015,85.1
526,College of Humanities Arts Social Sciences,Economics,Nanyang Technological University,3300,3000,3200,75.9,3800,3496,3322,2015,87.4
527,College of Humanities Arts Social Sciences,English,Nanyang Technological University,3314,2604,3000,74,3743,3322,3238,2015,88
528,College of Humanities Arts Social Sciences,Linguistics And Multilingual Studies,Nanyang Technological University,3000,2800,3000,55.8,3600,3753,3475,2015,88.4
529,College of Humanities Arts Social Sciences,Psychology,Nanyang Technological University,3200,2800,3121,52,3562,3264,3099,2015,73.3
530,College of Humanities Arts Social Sciences,Sociology,Nanyang Technological University,3125,2700,3000,79.4,3600,3402,3260,2015,85.7
531,College of Sciences,Biomedical Science (Traditional Chinese Medicine),Nanyang Technological University,2800,2500,2800,100,3105,2882,2832,2015,100
532,College of Sciences,Biological Sciences,Nanyang Technological University,3190,2875,3000,65.3,3600,3229,3117,2015,74.6
533,College of Sciences,Chemistry  Biological Chemistry,Nanyang Technological University,3000,2800,2900,72.3,3500,3139,2960,2015,83.9
534,College of Sciences,Mathematics  Economics,Nanyang Technological University,3205,2925,3000,84.4,3500,3440,3291,2015,95.3
535,College of Sciences,Mathematical Science,Nanyang Technological University,3240,2950,3125,72.7,3500,3402,3254,2015,81.8
536,College of Sciences,Physics  Applied Physics,Nanyang Technological University,3200,2900,3000,69.6,3400,3186,3098,2015,82.1
537,College of Sciences,Sports Science and Management,Nanyang Technological University,3295,2900,3000,72.1,3600,3307,3232,2015,90.7
538,National Institute of Education (NIE),Science (with Education),Nanyang Technological University,3504,3500,3500,100,3855,3604,3496,2015,100
539,National Institute of Education (NIE),Arts (with Education),Nanyang Technological University,3500,3500,3500,100,3605,3622,3551,2015,100
540,Faculty of Arts Social Sciences,Bachelor of Arts,National University of Singapore,3000,2700,2880,74.6,3215,2999,2839,2015,88.4
541,Faculty of Arts Social Sciences,Bachelor of Arts (Hons),National University of Singapore,3310,3000,3310,70.5,3625,3310,3266,2015,83
542,Faculty of Arts Social Sciences,Bachelor of Social Sciences,National University of Singapore,3310,3000,3300,79.8,3686,3442,3317,2015,88.6
543,NUS Business School,Bachelor of Business Administration,National University of Singapore,3000,2800,3000,80.3,3700,3341,3164,2015,88.2
544,NUS Business School,Bachelor of Business Administration (Hons),National University of Singapore,3800,3300,3750,93.1,4600,4326,4173,2015,96
545,NUS Business School,Bachelor of Business Administration (Accountancy),National University of Singapore,2850,2700,2850,97.6,2960,2983,2817,2015,97.6
546,NUS Business School,Bachelor of Business Administration (Accountancy) (Hons),National University of Singapore,3000,2850,3000,98.6,3634,3587,3547,2015,98.6
547,School of Computing,Bachelor of Computing (Communications and Media),National University of Singapore,3500,2800,3500,85.2,3800,3291,3230,2015,92.6
548,School of Computing,Bachelor of Computing (Computational Biology),National University of Singapore,na,na,na,na,na,na,na,2015,na
549,School of Computing,Bachelor of Computing (Computer Engineering),National University of Singapore,na,na,na,na,na,na,na,2015,na
550,School of Computing,Bachelor of Computing (Computer Science),National University of Singapore,3700,3300,3700,95,4400,3890,3847,2015,97
551,School of Computing,Bachelor of Computing (Electronic Commerce),National University of Singapore,3300,3000,3300,87.1,3500,3301,3255,2015,90.3
552,School of Computing,Bachelor of Computing (Information Systems),National University of Singapore,3550,3200,3500,97.2,4100,3699,3597,2015,97.2
553,Faculty of Dentistry,Bachelor of Dental Surgery,National University of Singapore,4000,4000,4000,100,4400,4083,4053,2015,100
554,School of Design  Environment,Bachelor of Arts (Architecture),National University of Singapore,4127,3700,4114,96.4,4500,4099,4054,2015,97.6
555,School of Design  Environment,Bachelor of Arts (Industrial Design),National University of Singapore,3000,2700,3000,60,3200,2908,2907,2015,72
556,School of Design  Environment,Bachelor of Science (Project and Facilities Management),National University of Singapore,3000,2800,3000,90.8,3215,3067,2989,2015,94.3
557,School of Design  Environment,Bachelor of Science (Real Estate),National University of Singapore,3100,2810,3000,89.6,3500,3325,3146,2015,93.9
558,Faculty of Engineering,Bachelor of Engineering (Biomedical Engineering),National University of Singapore,3300,3000,3200,75.9,3500,3357,3256,2015,86.2
559,Faculty of Engineering,Bachelor of Engineering (Chemical Engineering),National University of Singapore,3500,3000,3300,82.9,4000,3529,3400,2015,86
560,Faculty of Engineering,Bachelor of Engineering (Civil Engineering),National University of Singapore,3350,3200,3300,95.3,3500,3366,3300,2015,96.5
561,Faculty of Engineering,Bachelor of Engineering (Computer Engineering),National University of Singapore,4000,3325,4000,90.6,4583,4252,4119,2015,91.8
562,Faculty of Engineering,Bachelor of Engineering (Electrical Engineering),National University of Singapore,3300,3000,3200,90.4,3700,3589,3452,2015,92.1
563,Faculty of Engineering,Bachelor of Engineering (Engineering Science),National University of Singapore,3800,3500,3735,73.9,4420,3812,3768,2015,82.6
564,Faculty of Engineering,Bachelor of Engineering (Environmental Engineering),National University of Singapore,3450,3000,3430,85.7,3670,3337,3318,2015,88.1
565,Faculty of Engineering,Bachelor of Engineering (Industrial and Systems Engineering),National University of Singapore,3500,3300,3475,94.7,4030,3724,3624,2015,96.1
566,Faculty of Engineering,Bachelor of Engineering (Materials Science and Engineering),National University of Singapore,3350,3050,3200,95,3790,3391,3121,2015,100
567,Faculty of Engineering,Bachelor of Engineering (Mechanical Engineering),National University of Singapore,3300,3000,3200,80,3600,3422,3279,2015,83.3
568,Faculty of Law,Bachelor of Laws (LLB) (Hons),National University of Singapore,4700,4200,4600,96.9,5800,4910,4866,2015,96.9
569,YLL School of Medicine,Bachelor of Medicine and Bachelor of Surgery,National University of Singapore,4900,4500,4500,100,5000,4729,4352,2015,100
570,YLL School of Medicine,Bachelor of Science (Nursing),National University of Singapore,3400,3200,3200,97.3,3445,3356,3175,2015,97.3
571,YLL School of Medicine,Bachelor of Science (Nursing) (Hons),National University of Singapore,3435,3300,3200,100,3700,3466,3219,2015,100
572,Yong Siew Toh Conservatory of Music,Bachelor of Music,National University of Singapore,3300,3000,3200,41.2,3600,3344,3244,2015,82.4
573,Faculty of Science,Bachelor of Applied Science,National University of Singapore,na,na,na,na,na,na,na,2015,na
574,Faculty of Science,Bachelor of Applied Science (Hons),National University of Singapore,3100,3000,3000,77.8,4000,3355,3203,2015,85.2
575,Faculty of Science,Bachelor of Science,National University of Singapore,3000,2620,2900,64.2,3200,3052,2859,2015,84.3
576,Faculty of Science,Bachelor of Science (Hons),National University of Singapore,3300,3000,3200,76.2,3600,3321,3245,2015,83.9
577,Faculty of Science,Bachelor of Science (Computational Biology),National University of Singapore,na,na,na,na,na,na,na,2015,na
578,Faculty of Science,Bachelor of Science (Pharmacy) (Hons),National University of Singapore,3500,3400,3500,97.9,3929,3717,3431,2015,99
579,MultiDisciplinary Programme,Bachelor of Environmental Studies,National University of Singapore,3500,3238,3462,59.4,3550,3433,3400,2015,71.9
580,School of Accountancy (4year programme),Accountancy,Singapore Management University,3000,2850,2900,93,3500,3427,3287,2015,97.3
581,School of Accountancy (4year programme),Accountancy Cum Laude and above,Singapore Management University,3200,2850,3100,97.7,4110,3701,3597,2015,97.7
582,School of Business (4year programme),Business Management,Singapore Management University,3300,3000,3200,88.2,4000,3611,3513,2015,93.9
583,School of Business (4year programme),Business Management Cum Laude and above,Singapore Management University,3868,3200,3800,93.3,4600,4130,4050,2015,98.3
584,School of Economics (4year programme),Economics,Singapore Management University,3500,3200,3500,85.8,4100,3946,3798,2015,90.3
585,School of Economics (4year programme),Economics Cum Laude and above,Singapore Management University,3850,3500,3800,92.7,4700,4380,4249,2015,98.2
586,School of Information Systems (4year programme),Information Systems Management,Singapore Management University,3500,3200,3500,85.9,4110,3660,3491,2015,94.8
587,School of Information Systems (4year programme),Information Systems Management Cum Laude and above,Singapore Management University,3800,3500,3800,92.1,4166,3834,3577,2015,97.4
588,School of Social Sciences (4year programme),Social Sciences,Singapore Management University,3200,2980,3100,83,3600,3550,3306,2015,89
589,School of Social Sciences (4year programme),Social Sciences Cum Laude and above,Singapore Management University,3560,3300,3500,89.7,4583,4012,3887,2015,93.1
590,School of Law (4year programme),Law,Singapore Management University,4731,4350,4600,99,5800,4997,4889,2015,99
591,School of Law (4year programme),Law Cum Laude and above,Singapore Management University,5000,4500,4766,100,5995,5313,5160,2015,100
592,na,Bachelor of Engineering (Engineering Product Development),Singapore University of Technology and Design,3600,3400,3618,88.1,3800,3565,3595,2015,92.5
593,na,Bachelor of Engineering (Engineering Systems and Design),Singapore University of Technology and Design,3500,3190,3450,71.8,4100,3763,3699,2015,80.3
594,na,Bachelor of Engineering (Information Systems Technology and Design),Singapore University of Technology and Design,3950,3338,3700,83.7,4450,3952,3872,2015,86
595,na,Bachelor of Science (Architecture and Sustainable Design),Singapore University of Technology and Design,na,na,na,na,na,na,na,2015,na
596,DigiPen Institute of Technology,Bachelor of Arts in Game Design,Singapore Institute of Technology,na,na,na,na,na,na,na,2015,na
597,DigiPen Institute of Technology,Bachelor of Fine Arts in Digital Arts Animation,Singapore Institute of Technology,2700,2500,2700,65.4,2800,2682,2643,2015,88.5
598,DigiPen Institute of Technology,Bachelor of Science in Computer Science  Game Design,Singapore Institute of Technology,na,na,na,na,na,na,na,2015,na
599,DigiPen Institute of Technology,Bachelor of Science in Computer Science in RealTime Interactive Simulation,Singapore Institute of Technology,3233,3000,3200,90.5,3500,3346,3332,2015,95.2
600,The Glasgow School of Art,Bachelor of Arts with Honours in Communication Design,Singapore Institute of Technology,2750,2523,2750,54.3,2975,2922,2896,2015,76.1
601,College of Business (Nanyang Business School),Accountancy and Business,Nanyang Technological University,3770,3000,3500,97.3,4850,4438,4225,2015,98.6
602,The Glasgow School of Art,Bachelor of Arts with Honours in Interior Design,Singapore Institute of Technology,2700,2500,2600,71.9,3025,2893,2520,2015,87.5
603,Newcastle University,Bachelor of Engineering with Honours in Chemical Engineering,Singapore Institute of Technology,3250,2900,3000,72.6,3750,3405,3097,2015,85.5
604,Newcastle University,Bachelor of Engineering with Honours in Electrical Power Engineering,Singapore Institute of Technology,3300,3000,3100,77.4,3550,3452,3334,2015,83
605,Newcastle University,Bachelor of Engineering with Honours in Marine Engineering,Singapore Institute of Technology,3225,3050,3025,91.7,3500,3354,3180,2015,91.7
606,Newcastle University,Bachelor of Engineering with Honours in Mechanical Design  Manufacturing Engineering,Singapore Institute of Technology,3200,3000,3050,83.3,3500,3266,3069,2015,90.5
607,Newcastle University,Bachelor of Engineering with Honours in Naval Architecture,Singapore Institute of Technology,3141,2900,3050,100,3500,3266,3211,2015,100
608,Newcastle University,Bachelor of Engineering with Honours in Offshore Engineering,Singapore Institute of Technology,3350,3238,3125,94.7,3575,3469,3166,2015,100
609,Newcastle University,Bachelor of Science with Honours in Food  Human Nutrition,Singapore Institute of Technology,2700,2475,2700,81.1,3050,2876,2683,2015,89.2
610,Technische Universitt Mnchen,Bachelor of Science in Chemical Engineering,Singapore Institute of Technology,2950,2800,2800,79.2,3200,2970,2759,2015,87.5
611,Technische Universitt Mnchen,Bachelor of Science in Electrical Engineering  Information Technology,Singapore Institute of Technology,3250,3000,3100,90,3488,3339,3044,2015,100
612,The Culinary Institute of America,Bachelor of Professional Studies in Culinary Arts Management,Singapore Institute of Technology,2400,2000,2300,81.5,2800,2586,2482,2015,92.6
613,Singapore Institute of Technology Trinity College Dublin,Bachelor in Science (Diagnostic Radiography),Singapore Institute of Technology,3488,3313,3300,100,3650,3486,3322,2015,100
614,Trinity College Dublin,Bachelor in Science (Occupational Therapy),Singapore Institute of Technology,3125,3000,3120,100,3225,3149,3126,2015,100
615,Trinity College Dublin,Bachelor in Science (Physiotherapy),Singapore Institute of Technology,3222,3200,3200,98.3,3500,3310,3234,2015,100
616,Trinity College Dublin,Bachelor in Science (Radiation Therapy),Singapore Institute of Technology,na,na,na,na,na,na,na,2015,na
617,University of Glasgow,Bachelor of Engineering with Honours in Aeronautical Engineering,Singapore Institute of Technology,3000,2614,3000,73.7,3293,2840,2766,2015,81.6
618,University of Glasgow,Bachelor of Engineering with Honours in Aerospace Systems,Singapore Institute of Technology,3000,2882,3000,70.8,3300,3185,3128,2015,83.3
619,University of Glasgow,Bachelor of Engineering with Honours in Mechanical Design Engineering,Singapore Institute of Technology,3250,2960,3000,61.1,4200,3685,3160,2015,72.2
620,University of Glasgow,Bachelor of Engineering with Honours in Mechatronics,Singapore Institute of Technology,3100,2975,3000,94.5,3875,3404,3202,2015,96.4
621,University of Glasgow,Bachelor of Science with Honours in Computing Science,Singapore Institute of Technology,3300,3152,3250,86.7,3400,3391,3247,2015,95.6
622,University of Manchester,Bachelor of Science with Honours in Nursing Practice,Singapore Institute of Technology,3615,3400,3400,96.7,3838,3624,3304,2015,98.3
623,University of Nevada Las Vegas,Bachelor of Science (Major in Hospitality Management),Singapore Institute of Technology,2548,2338,2500,82.6,2850,2607,2515,2015,89.9
624,Wheelock College,Bachelor of Science in Early Childhood Education,Singapore Institute of Technology,2700,2608,2700,96.4,3000,2807,2772,2015,100
625,College of Engineering,Mechanical Engineering and Economics,Nanyang Technological University,na,na,na,na,na,na,na,2015,na
626,College of Business (Nanyang Business School),Accountancy and Business,Nanyang Technological University,3770,3000,3500,97.3,4850,4438,4225,2015,98.6
627,College of Business (Nanyang Business School),Accountancy (3yr direct Honours Programme),Nanyang Technological University,2875,2850,2850,96.5,3125,3240,3182,2015,97.3
628,College of Business (Nanyang Business School),Business (3yr direct Honours Programme),Nanyang Technological University,3200,2900,3100,87.6,3700,3502,3343,2015,92.2
629,College of Business (Nanyang Business School),Business and Computing,Nanyang Technological University,4583,3800,4184,100,4876,4395,4036,2015,100
630,College of Engineering,Aerospace Engineering,Nanyang Technological University,3700,3450,3650,86,4000,3724,3699,2015,86
631,College of Engineering,Aerospace Engineering and Economics,Nanyang Technological University,na,na,na,na,na,na,na,2015,na
632,College of Engineering,Bioengineering,Nanyang Technological University,3113,2900,3000,76.5,3450,3197,3079,2015,92.6
633,College of Engineering,Business and Computer Engineering,Nanyang Technological University,na,na,na,na,na,na,na,2015,na
634,College of Engineering,Chemical And Biomolecular Engineering,Nanyang Technological University,3300,3000,3100,80.9,3600,3373,3156,2015,86.8
635,College of Engineering,Chemical And Biomolecular Engineering and Economics,Nanyang Technological University,na,na,na,na,na,na,na,2015,na
636,College of Engineering,Computer Engineering,Nanyang Technological University,3500,3200,3350,83,4000,3577,3489,2015,85.1
637,College of Engineering,Civil Engineering,Nanyang Technological University,3200,3000,3100,93,3300,3206,3125,2015,95.3
638,College of Engineering,Computer Science,Nanyang Technological University,3300,3150,3300,91.4,3800,3535,3489,2015,92.4
639,College of Engineering,Electrical And Electronic Engineering,Nanyang Technological University,3300,3000,3200,86.2,3690,3446,3345,2015,88.6
640,College of Engineering,Environmental Engineering,Nanyang Technological University,3300,3000,3200,82.1,3835,3673,3472,2015,89.7
641,College of Engineering,Environmental Engineering and Economics,Nanyang Technological University,na,na,na,na,na,na,na,2015,na
642,College of Engineering,Information Engineering And Media,Nanyang Technological University,3275,3000,3200,80,3500,3375,3271,2015,87.3
643,College of Engineering,Information Engineering And Media and Economics,Nanyang Technological University,na,na,na,na,na,na,na,2015,na
644,College of Engineering,Materials Engineering,Nanyang Technological University,3200,3000,3100,76.8,3600,3397,3213,2015,82.9
645,College of Engineering,Mechanical Engineering,Nanyang Technological University,3250,3000,3200,80.7,3600,3388,3248,2015,88
646,College of Engineering,Maritime Studies,Nanyang Technological University,3200,3000,3200,95,3300,3271,3249,2015,95
647,College of Humanities Arts Social Sciences,Art Design  Media,Nanyang Technological University,2800,2200,2800,56.9,3000,3457,3284,2015,79.3
648,College of Humanities Arts Social Sciences,Chinese,Nanyang Technological University,3200,2800,3000,76.6,3500,3045,2978,2015,81.8
649,College of Humanities Arts Social Sciences,Communication Studies,Nanyang Technological University,3000,2600,2900,74.4,3330,3008,2921,2015,85.1
650,College of Humanities Arts Social Sciences,Economics,Nanyang Technological University,3300,3000,3200,75.9,3800,3496,3322,2015,87.4
651,College of Humanities Arts Social Sciences,English,Nanyang Technological University,3314,2604,3000,74,3743,3322,3238,2015,88
652,College of Humanities Arts Social Sciences,Linguistics And Multilingual Studies,Nanyang Technological University,3000,2800,3000,55.8,3600,3753,3475,2015,88.4
653,College of Humanities Arts Social Sciences,Psychology,Nanyang Technological University,3200,2800,3121,52,3562,3264,3099,2015,73.3
654,College of Humanities Arts Social Sciences,Sociology,Nanyang Technological University,3125,2700,3000,79.4,3600,3402,3260,2015,85.7
655,College of Sciences,Biomedical Science (Traditional Chinese Medicine),Nanyang Technological University,2800,2500,2800,100,3105,2882,2832,2015,100
656,College of Sciences,Biological Sciences,Nanyang Technological University,3190,2875,3000,65.3,3600,3229,3117,2015,74.6
657,College of Sciences,Chemistry  Biological Chemistry,Nanyang Technological University,3000,2800,2900,72.3,3500,3139,2960,2015,83.9
658,College of Sciences,Mathematics  Economics,Nanyang Technological University,3205,2925,3000,84.4,3500,3440,3291,2015,95.3
659,College of Sciences,Mathematical Science,Nanyang Technological University,3240,2950,3125,72.7,3500,3402,3254,2015,81.8
660,College of Sciences,Physics  Applied Physics,Nanyang Technological University,3200,2900,3000,69.6,3400,3186,3098,2015,82.1
661,College of Sciences,Sports Science and Management,Nanyang Technological University,3295,2900,3000,72.1,3600,3307,3232,2015,90.7
662,National Institute of Education (NIE),Science (with Education),Nanyang Technological University,3504,3500,3500,100,3855,3604,3496,2015,100
663,National Institute of Education (NIE),Arts (with Education),Nanyang Technological University,3500,3500,3500,100,3605,3622,3551,2015,100
664,Faculty of Science,Bachelor of Science (Computational Biology),National University of Singapore,na,na,na,na,na,na,na,2015,na
665,Faculty of Arts Social Sciences,Bachelor of Arts,National University of Singapore,3000,2700,2880,74.6,3215,2999,2839,2015,88.4
666,Faculty of Arts Social Sciences,Bachelor of Arts (Hons),National University of Singapore,3310,3000,3310,70.5,3625,3310,3266,2015,83
667,Faculty of Arts Social Sciences,Bachelor of Social Sciences,National University of Singapore,3310,3000,3300,79.8,3686,3442,3317,2015,88.6
668,NUS Business School,Bachelor of Business Administration,National University of Singapore,3000,2800,3000,80.3,3700,3341,3164,2015,88.2
669,NUS Business School,Bachelor of Business Administration (Hons),National University of Singapore,3800,3300,3750,93.1,4600,4326,4173,2015,96
670,NUS Business School,Bachelor of Business Administration (Accountancy),National University of Singapore,2850,2700,2850,97.6,2960,2983,2817,2015,97.6
671,NUS Business School,Bachelor of Business Administration (Accountancy) (Hons),National University of Singapore,3000,2850,3000,98.6,3634,3587,3547,2015,98.6
