,school,degree,university,gross_monthly_median,gross_mthly_25_percentile,basic_monthly_median,employment_rate_ft_perm,gross_mthly_75_percentile,gross_monthly_mean,basic_monthly_mean,year,employment_rate_overall
121,College of Engineering,Computer Engineering,Nanyang Technological University,3175,3000,3100,88.2,3600,3374,3326,2013,90.3
122,College of Engineering,Civil Engineering,Nanyang Technological University,3100,3000,3000,93.8,3380,3182,3091,2013,94.8
123,College of Engineering,Computer Science,Nanyang Technological University,3125,3000,3000,88.5,3600,3306,3249,2013,92.1
124,College of Engineering,Electrical and Electronic Engineering,Nanyang Technological University,3100,3000,3000,88.7,3440,3187,3133,2013,91
125,College of Engineering,Environmental Engineering,Nanyang Technological University,3000,3000,3000,81.5,3300,3140,3091,2013,84
126,College of Engineering,Information Engineering and Media,Nanyang Technological University,3200,2950,3150,79.6,3400,3203,3160,2013,85.7
127,College of Engineering,Materials Engineering,Nanyang Technological University,3000,2800,3000,78.9,3300,3096,2989,2013,82.5
128,College of Engineering,Mechanical Engineering,Nanyang Technological University,3100,3000,3000,89.5,3500,3226,3125,2013,91.6
129,College of Engineering,Maritime Studies,Nanyang Technological University,3000,2850,3000,93.3,3200,3111,3050,2013,95.6
130,College of Humanities Arts Social Sciences,Art Design  Media,Nanyang Technological University,2500,2300,2500,61.4,2900,2638,2639,2013,81.6
131,College of Humanities Arts Social Sciences,Chinese,Nanyang Technological University,3000,2600,2800,80.5,3300,2924,2818,2013,85.1
132,College of Humanities Arts Social Sciences,Communication Studies,Nanyang Technological University,3000,2700,2930,79.6,3250,2956,2893,2013,89.4
133,College of Humanities Arts Social Sciences,Economics,Nanyang Technological University,3000,2800,3000,83.5,3545,3148,3085,2013,89.9
134,College of Humanities Arts Social Sciences,English,Nanyang Technological University,3100,2800,3000,67.3,3400,3179,3087,2013,82.7
135,College of Humanities Arts Social Sciences,Linguistics and Multilingual Studies,Nanyang Technological University,2625,2475,2600,81.3,3018,2725,2691,2013,90.6
136,College of Humanities Arts Social Sciences,Psychology,Nanyang Technological University,3000,2750,3000,71.8,3255,3061,3007,2013,82.4
137,College of Humanities Arts Social Sciences,Sociology,Nanyang Technological University,3100,2800,3000,55.8,3310,3082,2980,2013,74.4
138,College of Sciences,Biomedical Sciences,Nanyang Technological University,na,na,na,na,na,na,na,2013,na
139,College of Sciences,Biomedical Sciences (Traditional Chinese Medicine),Nanyang Technological University,2807,2700,2800,88.4,3000,2883,2840,2013,90.7
140,College of Sciences,Biological Sciences,Nanyang Technological University,3000,2700,2900,68.1,3250,3002,2881,2013,78.6
141,College of Sciences,Chemistry  Biological Chemistry,Nanyang Technological University,3100,2800,3000,68.9,3400,3083,2993,2013,79.8
142,College of Sciences,Mathematics  Economics,Nanyang Technological University,na,na,na,na,na,na,na,2013,na
143,College of Sciences,Mathematical Science,Nanyang Technological University,3000,2750,3000,83.7,3500,3262,3169,2013,86
144,College of Sciences,Physics  Applied Physics,Nanyang Technological University,3300,2900,3000,69.2,3400,3208,3164,2013,80.8
145,College of Sciences,Sports Science and Management,Nanyang Technological University,3000,2700,3000,59.1,3400,2985,2968,2013,68.2
